R_int	Phi_global	P_surf
1.0705093066e+07	9.8984247690e-01	7.0227448311e+03
1.0705093066e+07	9.8976843456e-01	7.0446437817e+03
1.0705093066e+07	9.8969441292e-01	7.0630602280e+03
1.0705093066e+07	9.8962045680e-01	7.0782785544e+03
1.0705093066e+07	9.8954656994e-01	7.0908337388e+03
1.0705093066e+07	9.8947267330e-01	7.1013975733e+03
1.0705093066e+07	9.8939878197e-01	7.1106356975e+03
1.0705093066e+07	9.8932474363e-01	7.1191058827e+03
1.0705093066e+07	9.8925036223e-01	7.1268979596e+03
1.0705093066e+07	9.8917559193e-01	7.1337937011e+03
1.0705093066e+07	9.8910056534e-01	7.1391619704e+03
1.0705093066e+07	9.8906991356e-01	7.1424013125e+03
1.0705093066e+07	9.8906641380e-01	7.1429925959e+03
1.0705093066e+07	9.8906349508e-01	7.1427131087e+03
1.0705093066e+07	9.8906059406e-01	7.1420315229e+03
1.0705093066e+07	9.8905773613e-01	7.1406163021e+03
1.0705093066e+07	9.8905497608e-01	7.1376907547e+03
1.0705093066e+07	9.8905253401e-01	7.1319370126e+03
1.0705093066e+07	9.8905026959e-01	7.1219054223e+03
1.0705093066e+07	9.8904840336e-01	7.1062831279e+03
1.0705093066e+07	9.8904700573e-01	7.0841173643e+03
1.0705093066e+07	9.8904634038e-01	7.0586210388e+03
1.0705093066e+07	9.8904611640e-01	7.0309484169e+03
1.0705093066e+07	9.8904621384e-01	7.0013153281e+03
1.0705093066e+07	9.8904658337e-01	6.9698778538e+03
1.0705093066e+07	9.8904719508e-01	6.9367581235e+03
1.0705093066e+07	9.8904803417e-01	6.9020587856e+03
1.0705093066e+07	9.8904916027e-01	6.8658685938e+03
1.0705093066e+07	9.8905050209e-01	6.8282630132e+03
1.0705093066e+07	9.8905202453e-01	6.7893106248e+03
1.0705093066e+07	9.8905366196e-01	6.7492300475e+03
1.0705093066e+07	9.8905508259e-01	6.7082670989e+03
1.0697785278e+07	9.8905647824e-01	6.6740695588e+03
1.0697785278e+07	9.8857661548e-01	6.6756367952e+03
1.0697785278e+07	9.8851235722e-01	6.6757825852e+03
1.0697785278e+07	9.8844787862e-01	6.6759271614e+03
1.0697785278e+07	9.8838316677e-01	6.6760470749e+03
1.0697785278e+07	9.8831822251e-01	6.6760324746e+03
