Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
2.1103328229e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133675364e+03	3.8732881039e+03	7.8755735689e+03	1.6517891616e+01	9.9804555844e-01	5.3511705686e-01	5.8537001850e+22	2.0012338584e+25	1.1269154618e+07	2.7107884999e+03	4.0000000000e+00
2.1103328454e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133676987e+03	3.8735264092e+03	7.8462006819e+03	1.6517891616e+01	9.9797817642e-01	5.3511705686e-01	6.0123482559e+22	2.0010752104e+25	1.1269208839e+07	2.7130686499e+03	4.0000000000e+00
2.1103328673e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133678815e+03	3.8737661646e+03	7.8168277729e+03	1.6517891616e+01	9.9791055091e-01	5.3511705686e-01	6.1717084088e+22	2.0009158502e+25	1.1269263382e+07	2.7153644688e+03	4.0000000000e+00
2.1103328885e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133680859e+03	3.8740072742e+03	7.7874549166e+03	1.6517891616e+01	9.9784268005e-01	5.3511705686e-01	6.3324166415e+22	2.0007551420e+25	1.1269318225e+07	2.7176750761e+03	4.0000000000e+00
2.1103329091e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133683133e+03	3.8742496812e+03	7.7580820230e+03	1.6517891616e+01	9.9777456213e-01	5.3511705686e-01	6.4945693236e+22	2.0005929893e+25	1.1269373353e+07	2.7199999599e+03	4.0000000000e+00
2.1103329292e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133685656e+03	3.8744933765e+03	7.7287091337e+03	1.6517891616e+01	9.9770619570e-01	5.3511705686e-01	6.6582707006e+22	2.0004292879e+25	1.1269428766e+07	2.7223390635e+03	4.0000000000e+00
2.1103329487e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5133688455e+03	3.8747384129e+03	7.6993362425e+03	1.6517891616e+01	9.9763757945e-01	5.3511705686e-01	6.8233947448e+22	2.0002641639e+25	1.1269484474e+07	2.7246929264e+03	4.0000000000e+00
2.1103329678e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5147517553e+03	3.8749849204e+03	7.6699633508e+03	1.6517891616e+01	9.9756871252e-01	5.3511705686e-01	6.9894482725e+22	2.0000981104e+25	1.1269311295e+07	2.7270628253e+03	4.0000000000e+00
2.1103329864e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5149443155e+03	3.8752331219e+03	7.6405904585e+03	1.6517891616e+01	9.9749959373e-01	5.3511705686e-01	7.1562746707e+22	1.9999312840e+25	1.1269367743e+07	2.7294509358e+03	4.0000000000e+00
2.1103330047e+04	1.0964633001e+07	5.0972708600e+06	0.0000000000e+00	3.5149444582e+03	3.8754833458e+03	7.6112175646e+03	1.6517891616e+01	9.9743022146e-01	5.3511705686e-01	7.3240373436e+22	1.9997635213e+25	1.1269424643e+07	2.7318604543e+03	4.0000000000e+00
