Phi_global	fO2_shift_IW_derived
9.8099617611e-01	-1.0442325397e+00
9.8099765333e-01	-1.0442331641e+00
9.8099960410e-01	-1.0442345397e+00
9.8100177005e-01	-1.0442364013e+00
9.8100407966e-01	-1.0442386361e+00
9.8100649810e-01	-1.0442411706e+00
9.8100904078e-01	-1.0442438106e+00
9.8101165313e-01	-1.0442466157e+00
9.8101431673e-01	-1.0442495959e+00
9.8101702453e-01	-1.0442527369e+00
9.8101978647e-01	-1.0442559252e+00
9.8102259533e-01	-1.0442591372e+00
9.8102543115e-01	-1.0442624704e+00
9.8102829176e-01	-1.0442659203e+00
9.8103117542e-01	-1.0442694828e+00
9.8103091809e-01	-1.0442860431e+00
9.8110090303e-01	-1.0443112284e+00
9.8118470398e-01	-1.0443388314e+00
9.8126848681e-01	-1.0443672959e+00
9.8135217631e-01	-1.0443965910e+00
9.8143575753e-01	-1.0444266901e+00
9.8151925999e-01	-1.0444575845e+00
9.8160262408e-01	-1.0444885681e+00
9.8168586720e-01	-1.0445189293e+00
9.8176905323e-01	-1.0445487568e+00
9.8185229725e-01	-1.0445781913e+00
9.8193576589e-01	-1.0446074166e+00
9.8201731853e-01	-1.0446358079e+00
9.8208026402e-01	-1.0446577215e+00
9.8213221664e-01	-1.0446759000e+00
9.8217607453e-01	-1.0446913813e+00
9.8221143503e-01	-1.0447039755e+00
9.8224157668e-01	-1.0447149025e+00
9.8226719365e-01	-1.0447244367e+00
9.8228869451e-01	-1.0447327352e+00
9.8230573420e-01	-1.0447395632e+00
9.8231986403e-01	-1.0447455350e+00
9.8233156785e-01	-1.0447508240e+00
9.8234116380e-01	-1.0447555308e+00
9.8234878333e-01	-1.0447595963e+00
9.8235485505e-01	-1.0447631721e+00
9.8235969185e-01	-1.0447664276e+00
9.8236342430e-01	-1.0447694020e+00
9.8236616297e-01	-1.0447721275e+00
9.8235324930e-01	-1.0447805859e+00
9.8240212206e-01	-1.0447935376e+00
9.8245495071e-01	-1.0448055476e+00
9.8250160092e-01	-1.0448159439e+00
9.8254347178e-01	-1.0448251276e+00
9.8258147869e-01	-1.0448333594e+00
9.8261624444e-01	-1.0448408186e+00
9.8264819903e-01	-1.0448476337e+00
9.8267766108e-01	-1.0448538999e+00
9.8270486383e-01	-1.0448596890e+00
9.8272550672e-01	-1.0448645786e+00
9.8272401721e-01	-1.0448669335e+00
9.8272119131e-01	-1.0448691684e+00
9.8271694429e-01	-1.0448712799e+00
9.8271117707e-01	-1.0448732633e+00
9.8270376608e-01	-1.0448751112e+00
9.8269452149e-01	-1.0448768087e+00
9.8268307830e-01	-1.0448783219e+00
9.8266876497e-01	-1.0448795988e+00
9.8264909882e-01	-1.0448806032e+00
9.8263776003e-01	-1.0448820028e+00
9.8264409354e-01	-1.0448844632e+00
9.8263822055e-01	-1.0448841941e+00
9.8260674939e-01	-1.0448742867e+00
9.8252402213e-01	-1.0448429927e+00
9.8243794378e-01	-1.0448194878e+00
9.8235247941e-01	-1.0448081538e+00
9.8226782942e-01	-1.0448100812e+00
9.8218356564e-01	-1.0448263639e+00
9.8209945740e-01	-1.0448603235e+00
9.8201548350e-01	-1.0449180937e+00
9.8193179235e-01	-1.0450081782e+00
9.8184862488e-01	-1.0451403658e+00
9.8176623261e-01	-1.0453237102e+00
9.8168472139e-01	-1.0455626922e+00
9.8160360673e-01	-1.0458570163e+00
9.8152293233e-01	-1.0462098733e+00
9.8144227184e-01	-1.0466130146e+00
9.8131541903e-01	-1.0470674344e+00
9.8112083857e-01	-1.0473575900e+00
9.8106355578e-01	-1.0473472412e+00
9.8100617970e-01	-1.0473350376e+00
9.8094860797e-01	-1.0473207601e+00
9.8088922963e-01	-1.0473044623e+00
9.8082941576e-01	-1.0472866069e+00
9.8076872640e-01	-1.0472674157e+00
9.8070786520e-01	-1.0472471707e+00
