config,Phi_global,H2O_vmr,CO2_vmr,O2_vmr,H2_vmr,CH4_vmr,CO_vmr,N2_vmr,S2_vmr,SO2_vmr,H2S_vmr,P_surf,fO2_shift_IW_derived,O_kg_total,O_res
S2_m5_IW0_fixed,4.9408778537e-01,1.5148394301e-02,1.2966928828e-01,8.8333648897e-06,1.2941978461e-02,1.6515916658e-08,8.3447275294e-01,7.6294740232e-03,3.2645942772e-06,7.7606551488e-05,4.7988353837e-05,4.7692683446e+02,0.0000000000e+00,1.8093909201e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9401193178e-01,1.5152872483e-02,1.2960403000e-01,8.9615359225e-06,1.2945641551e-02,1.6432655919e-08,8.3452938041e-01,7.6292376883e-03,3.2839072089e-06,7.8152565071e-05,4.8021229912e-05,4.7693136504e+02,0.0000000000e+00,1.8093739926e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9393301374e-01,1.5157532798e-02,1.2953569565e-01,9.0977129487e-06,1.2949462080e-02,1.6345926906e-08,8.3458871519e-01,7.6289905906e-03,3.3042390603e-06,7.8728107087e-05,4.8055534578e-05,4.7693605982e+02,0.0000000000e+00,1.8093561999e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9384802279e-01,1.5162564126e-02,1.2945559141e-01,9.2601589769e-06,1.2953584086e-02,1.6243833079e-08,8.3465904555e-01,7.6287077651e-03,3.3281559333e-06,7.9407592062e-05,4.8093692146e-05,4.7694081107e+02,0.0000000000e+00,1.8093355368e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9386176340e-01,1.5161903623e-02,1.2938497114e-01,9.4085607962e-06,1.2952873104e-02,1.6141362731e-08,8.3473042611e-01,7.6285403187e-03,3.3486054787e-06,8.0009074185e-05,4.8102795278e-05,4.7693610141e+02,0.0000000000e+00,1.8093208628e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9388059109e-01,1.5160875576e-02,1.2935525472e-01,9.4721193626e-06,1.2951936044e-02,1.6096546169e-08,8.3476184010e-01,7.6284818750e-03,3.3571312744e-06,8.0263117326e-05,4.8103012144e-05,4.7693281157e+02,0.0000000000e+00,1.8093151941e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9389948673e-01,1.5159838908e-02,1.2932795716e-01,9.5309254082e-06,1.2950998110e-02,1.6055267145e-08,8.3479086446e-01,7.6284296423e-03,3.3649664054e-06,8.0497094114e-05,4.8102766544e-05,4.7692963122e+02,0.0000000000e+00,1.8093100366e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9391882792e-01,1.5158770700e-02,1.2930388605e-01,9.5831635834e-06,1.2950040738e-02,1.6018574719e-08,8.3481674012e-01,7.6283860364e-03,3.3718657743e-06,8.0703870242e-05,4.8101807392e-05,4.7692655906e+02,0.0000000000e+00,1.8093055858e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9393992241e-01,1.5157598744e-02,1.2928145455e-01,9.6321953744e-06,1.2948998890e-02,1.5984018760e-08,8.3484117677e-01,7.6283482178e-03,3.3782798083e-06,8.0896925842e-05,4.8100062764e-05,4.7692338914e+02,0.0000000000e+00,1.8093015535e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9396082054e-01,1.5156434174e-02,1.2926118983e-01,9.6767617695e-06,1.2947968218e-02,1.5952604944e-08,8.3486344649e-01,7.6283157354e-03,3.3840675816e-06,8.1071651847e-05,4.8097976467e-05,4.7692034159e+02,0.0000000000e+00,1.8092979773e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9398132935e-01,1.5155289447e-02,1.2924233379e-01,9.7184457988e-06,1.2946957801e-02,1.5923282867e-08,8.3488427949e-01,7.6282864775e-03,3.3894516848e-06,8.1234515519e-05,4.8095740466e-05,4.7691740005e+02,0.0000000000e+00,1.8092946855e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9400228198e-01,1.5154118929e-02,1.2922363574e-01,9.7599738188e-06,1.2945926412e-02,1.5894177237e-08,8.3490500190e-01,7.6282580179e-03,3.3947928504e-06,8.1396294201e-05,4.8093352459e-05,4.7691442220e+02,0.0000000000e+00,1.8092914392e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9402346525e-01,1.5152935014e-02,1.2920501637e-01,9.8015095911e-06,1.2944884498e-02,1.5865207614e-08,8.3492566964e-01,7.6282299570e-03,3.4001162311e-06,8.1557676049e-05,4.8090885966e-05,4.7691142567e+02,0.0000000000e+00,1.8092882122e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9404391013e-01,1.5151792363e-02,1.2918703936e-01,9.8417756139e-06,1.2943879642e-02,1.5837295132e-08,8.3494562239e-01,7.6282028427e-03,3.4052631194e-06,8.1713766817e-05,4.8088506377e-05,4.7690853397e+02,0.0000000000e+00,1.8092850893e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9406385324e-01,1.5150677861e-02,1.2916943445e-01,9.8813618048e-06,1.2942900147e-02,1.5810025524e-08,8.3496515272e-01,7.6281762031e-03,3.4103109315e-06,8.1866892126e-05,4.8086197514e-05,4.7690571064e+02,0.0000000000e+00,1.8092820210e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9408416893e-01,1.5149542391e-02,1.2915157852e-01,9.9216739259e-06,1.2941903072e-02,1.5782408588e-08,8.3498496975e-01,7.6281492510e-03,3.4154367828e-06,8.2022465389e-05,4.8083831048e-05,4.7690283877e+02,0.0000000000e+00,1.8092789059e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9410266983e-01,1.5148509174e-02,1.2913483471e-01,9.9596023411e-06,1.2940995710e-02,1.5756640304e-08,8.3500349333e-01,7.6281234577e-03,3.4202545172e-06,8.2168606817e-05,4.8081763757e-05,4.7690020111e+02,0.0000000000e+00,1.8092759560e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9411828084e-01,1.5147638728e-02,1.2911989783e-01,9.9935266788e-06,1.2940230626e-02,1.5733821295e-08,8.3501992255e-01,7.6280996134e-03,3.4245654075e-06,8.2299199050e-05,4.8080166516e-05,4.7689793733e+02,0.0000000000e+00,1.8092732823e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9412922388e-01,1.5147031091e-02,1.2910796214e-01,1.0020663746e-05,1.2939694767e-02,1.5715833767e-08,8.3503288810e-01,7.6280791402e-03,3.4280272437e-06,8.2403725435e-05,4.8079313790e-05,4.7689628010e+02,0.0000000000e+00,1.8092710787e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9412716982e-01,1.5147154997e-02,1.2910451667e-01,1.0028333675e-05,1.2939795936e-02,1.5711393295e-08,8.3503607900e-01,7.6280684197e-03,3.4290734965e-06,8.2434049346e-05,4.8080510147e-05,4.7689631794e+02,0.0000000000e+00,1.8092702255e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9409682213e-01,1.5148871566e-02,1.2911957072e-01,9.9935327636e-06,1.2941283776e-02,1.5736453613e-08,8.3501797458e-01,7.6280789738e-03,3.4248534180e-06,8.2302594292e-05,4.8086164944e-05,4.7690004624e+02,0.0000000000e+00,1.8092723178e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9403153477e-01,1.5152554129e-02,1.2915818490e-01,9.9052251923e-06,1.2944486815e-02,1.5799127804e-08,8.3497286043e-01,7.6281175703e-03,3.4139386608e-06,8.1965968882e-05,4.8097196316e-05,4.7690836989e+02,0.0000000000e+00,1.8092781838e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9391432501e-01,1.5159164829e-02,1.2922869112e-01,9.7460054436e-06,1.2950247395e-02,1.5913999925e-08,8.3489068075e-01,7.6281896731e-03,3.3940713992e-06,8.1354490362e-05,4.8116789054e-05,4.7692338487e+02,0.0000000000e+00,1.8092888957e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9371272997e-01,1.5170550979e-02,1.2934362060e-01,9.4914551283e-06,1.2960184003e-02,1.6104817118e-08,8.3475555897e-01,7.6282968554e-03,3.3619986396e-06,8.0366853816e-05,4.8151658628e-05,4.7694895002e+02,0.0000000000e+00,1.8093056930e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9337156757e-01,1.5189867512e-02,1.2952105813e-01,9.1101948346e-06,1.2977071078e-02,1.6408972200e-08,8.3454364943e-01,7.6284330447e-03,3.3132676424e-06,7.8864078971e-05,4.8213845151e-05,4.7699150147e+02,0.0000000000e+00,1.8093298280e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9280026350e-01,1.5222351591e-02,1.2977530235e-01,8.5873458989e-06,1.3005506456e-02,1.6868808922e-08,8.3423095242e-01,7.6285478794e-03,3.2452274750e-06,7.6756963183e-05,4.8326068825e-05,4.7706093525e+02,0.0000000000e+00,1.8093597970e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9185277790e-01,1.5276562711e-02,1.3011869827e-01,7.9224764287e-06,1.3052997848e-02,1.7541226116e-08,8.3378917850e-01,7.6285305806e-03,3.1567256018e-06,7.3995413331e-05,4.8527413113e-05,4.7717280936e+02,0.0000000000e+00,1.8093906922e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.9032493450e-01,1.5364689447e-02,1.3058737085e-01,7.0894680230e-06,1.3130375802e-02,1.8547676961e-08,8.3315948032e-01,7.6282673633e-03,3.0412106836e-06,7.0375535415e-05,4.8870398136e-05,4.7735008810e+02,0.0000000000e+00,1.8094187461e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.8804116715e-01,1.5497376563e-02,1.3139621168e-01,5.8553928049e-06,1.3248582023e-02,2.0370920474e-08,8.3210670656e-01,7.6280965604e-03,2.8480377453e-06,6.4498888661e-05,4.9368549757e-05,4.7762278196e+02,0.0000000000e+00,1.8094703658e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.8672015980e-01,1.5572852324e-02,1.3248076748e-01,4.5537179365e-06,1.3321733016e-02,2.2756676158e-08,8.3088069902e-01,7.6294797338e-03,2.5948126178e-06,5.7305967781e-05,4.9540566968e-05,4.7781414371e+02,0.0000000000e+00,1.8095920324e+22,0.0000000000e+00
S2_m5_IW0_fixed,4.8576145098e-01,1.5627595600e-02,1.3328846602e-01,3.7735346254e-06,1.3376656585e-02,2.4727888993e-08,8.2996799644e-01,7.6305022527e-03,2.4197049840e-06,5.2441518874e-05,4.9661260464e-05,4.7795559615e+02,0.0000000000e+00,1.8096686875e+22,0.0000000000e+00
