Time	R_int	R_core	R_solvus	T_surf	T_magma	T_cmb	gravity	Phi_global	RF_depth	M_mantle_solid	M_mantle_liquid	R_obs	P_surf	fO2_shift_IW_derived
3.5440851805e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534473140e+03	3.8437123816e+03	1.0514859317e+04	2.4859177551e+01	9.9820754992e-01	5.3511705686e-01	4.2260638602e+24	3.8080350810e+25	1.3127008217e+07	2.5869103065e+03	4.0000000000e+00
3.5440851995e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4534476111e+03	3.8439313508e+03	1.0472522092e+04	2.4859177551e+01	9.9813931114e-01	5.3511705686e-01	4.2291912649e+24	3.8077223406e+25	1.3127041678e+07	2.5888358911e+03	4.0000000000e+00
3.5440852178e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4563098370e+03	3.8441531685e+03	1.0430184777e+04	2.4859177551e+01	9.9807087497e-01	5.3511705686e-01	4.2323239958e+24	3.8074090675e+25	1.3126817362e+07	2.5907877909e+03	4.0000000000e+00
3.5440852355e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566338913e+03	3.8443776048e+03	1.0387847383e+04	2.4859177551e+01	9.9800223949e-01	5.3511705686e-01	4.2354620280e+24	3.8070952642e+25	1.3126851691e+07	2.5927640590e+03	4.0000000000e+00
3.5440852526e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566338921e+03	3.8446044407e+03	1.0345510059e+04	2.4859177551e+01	9.9793340311e-01	5.3511705686e-01	4.2386053811e+24	3.8067809289e+25	1.3126886384e+07	2.5947628328e+03	4.0000000000e+00
3.5440852691e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566339100e+03	3.8448334779e+03	1.0303172710e+04	2.4859177551e+01	9.9786436397e-01	5.3511705686e-01	4.2417540291e+24	3.8064660641e+25	1.3126921411e+07	2.5967824301e+03	4.0000000000e+00
3.5440852851e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566339452e+03	3.8450645402e+03	1.0260835484e+04	2.4859177551e+01	9.9779512084e-01	5.3511705686e-01	4.2449079339e+24	3.8061506737e+25	1.3126956744e+07	2.5988213526e+03	4.0000000000e+00
3.5440853006e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566339984e+03	3.8452974834e+03	1.0218498083e+04	2.4859177551e+01	9.9772567199e-01	5.3511705686e-01	4.2480671317e+24	3.8058347539e+25	1.3126992362e+07	2.6008783825e+03	4.0000000000e+00
3.5440853157e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566340697e+03	3.8455321996e+03	1.0176160857e+04	2.4859177551e+01	9.9765601711e-01	5.3511705686e-01	4.2512316287e+24	3.8055183042e+25	1.3127028247e+07	2.6029526120e+03	4.0000000000e+00
3.5440853303e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566341592e+03	3.8457686349e+03	1.0133823518e+04	2.4859177551e+01	9.9758566979e-01	5.3511705686e-01	4.2544166712e+24	3.8051997999e+25	1.3127064391e+07	2.6050437324e+03	4.0000000000e+00
3.5440853445e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566342673e+03	3.8460067983e+03	1.0091486174e+04	2.4859177551e+01	9.9751440644e-01	5.3511705686e-01	4.2576293896e+24	3.8048785281e+25	1.3127100795e+07	2.6071519148e+03	4.0000000000e+00
3.5440853584e+04	1.2654900818e+07	5.8830475377e+06	0.0000000000e+00	3.4566343945e+03	3.8462467784e+03	1.0049148948e+04	2.4859177551e+01	9.9744293479e-01	5.3511705686e-01	4.2608477605e+24	3.8045566910e+25	1.3127137473e+07	2.6092777969e+03	4.0000000000e+00
