Phi_global	fO2_shift_IW_derived
9.7215247873e-01	2.2827163181e+00
9.7208356970e-01	2.2825412308e+00
9.7201404530e-01	2.2823614964e+00
9.7194231380e-01	2.2821776949e+00
9.7187018744e-01	2.2819900462e+00
9.7179745299e-01	2.2817988995e+00
9.7172291312e-01	2.2816046514e+00
9.7164717961e-01	2.2814075093e+00
9.7156899580e-01	2.2812078198e+00
9.7149053758e-01	2.2810056093e+00
9.7141180364e-01	2.2808010786e+00
9.7133279247e-01	2.2805944151e+00
9.7125350265e-01	2.2803857962e+00
9.7117393287e-01	2.2801753906e+00
9.7109408164e-01	2.2799633594e+00
9.7101394751e-01	2.2797498570e+00
9.7093351156e-01	2.2795350322e+00
9.7085276435e-01	2.2793190261e+00
9.7077170863e-01	2.2791019686e+00
9.7069035343e-01	2.2788839763e+00
9.7060870103e-01	2.2786651499e+00
9.7052674762e-01	2.2784455673e+00
9.7044449512e-01	2.2782252758e+00
9.7036194116e-01	2.2780042825e+00
9.7027908500e-01	2.2777825424e+00
9.7019592357e-01	2.2775599465e+00
9.7011245915e-01	2.2773363065e+00
9.7002868230e-01	2.2771113420e+00
9.6994460106e-01	2.2768846651e+00
9.6986020323e-01	2.2766557736e+00
9.6977549436e-01	2.2764240392e+00
9.6969046882e-01	2.2761887116e+00
9.6960512217e-01	2.2759489206e+00
9.6951945814e-01	2.2757036882e+00
9.6943346350e-01	2.2754519485e+00
9.6934714756e-01	2.2751925700e+00
9.6926049389e-01	2.2749243873e+00
9.6917351101e-01	2.2746462318e+00
9.6908618793e-01	2.2743569684e+00
9.6899852251e-01	2.2740555325e+00
9.6891051136e-01	2.2737409699e+00
9.6882214708e-01	2.2734124727e+00
9.6873342274e-01	2.2730694193e+00
9.6864432262e-01	2.2727114060e+00
9.6855484937e-01	2.2723382668e+00
9.6846503452e-01	2.2719500859e+00
9.6837487845e-01	2.2715472002e+00
9.6828437998e-01	2.2711301829e+00
9.6819353795e-01	2.2706998138e+00
9.6810235110e-01	2.2702570441e+00
9.6801081813e-01	2.2698029512e+00
9.6791893771e-01	2.2693386954e+00
9.6782670832e-01	2.2688654768e+00
9.6773412846e-01	2.2683844980e+00
9.6764119651e-01	2.2678969322e+00
9.6754791067e-01	2.2674038992e+00
9.6745426886e-01	2.2669064473e+00
9.6736026932e-01	2.2664055420e+00
9.6726591020e-01	2.2659020607e+00
9.6717118959e-01	2.2653952383e+00
9.6707610562e-01	2.2648827283e+00
9.6698065636e-01	2.2643697673e+00
9.6688483982e-01	2.2638569177e+00
9.6678865399e-01	2.2633446748e+00
9.6669209685e-01	2.2628334749e+00
9.6659516634e-01	2.2623237026e+00
9.6649786040e-01	2.2618156986e+00
9.6640017691e-01	2.2613097648e+00
9.6630211370e-01	2.2608061634e+00
9.6620366865e-01	2.2603050477e+00
9.6610483857e-01	2.2598056618e+00
9.6600561080e-01	2.2592976905e+00
9.6590587446e-01	2.2586689742e+00
9.6589116664e-01	2.2568292207e+00
9.6588619823e-01	2.2548326274e+00
9.6588203873e-01	2.2540727328e+00
9.6587796995e-01	2.2535634247e+00
9.6587396662e-01	2.2532592506e+00
9.6586999858e-01	2.2530733073e+00
9.6586604892e-01	2.2529460596e+00
9.6586211390e-01	2.2528492667e+00
9.6585819008e-01	2.2527679419e+00
9.6585427610e-01	2.2526955418e+00
9.6585037074e-01	2.2526267966e+00
9.6584648406e-01	2.2525661379e+00
9.6584262570e-01	2.2525153678e+00
9.6583881407e-01	2.2524787270e+00
9.6583509280e-01	2.2524668575e+00
9.6583153600e-01	2.2525039821e+00
9.6582828007e-01	2.2526303186e+00
9.6582563754e-01	2.2529367537e+00
9.6582424672e-01	2.2536127956e+00
9.6582523388e-01	2.2549963423e+00
9.6582969052e-01	2.2572705407e+00
9.6583932702e-01	2.2609803168e+00
9.6585634597e-01	2.2670244841e+00
9.6587856676e-01	2.2768007416e+00
9.6568396398e-01	2.2846575704e+00
9.6562088857e-01	2.2846097065e+00
9.6555771265e-01	2.2845380186e+00
9.6549388943e-01	2.2844419012e+00
9.6542973267e-01	2.2843254249e+00
9.6536458466e-01	2.2841929289e+00
9.6529904392e-01	2.2840476192e+00
9.6523279552e-01	2.2838918605e+00
9.6516443200e-01	2.2837274709e+00
9.6509566975e-01	2.2835555644e+00
9.6502570441e-01	2.2833771870e+00
9.6495530750e-01	2.2831930448e+00
9.6488464828e-01	2.2830037524e+00
9.6481174924e-01	2.2828100067e+00
9.6473801462e-01	2.2826121265e+00
9.6466389480e-01	2.2824104524e+00
9.6458787991e-01	2.2822054490e+00
9.6451056157e-01	2.2819973577e+00
9.6443065265e-01	2.2817865541e+00
9.6435034980e-01	2.2815730830e+00
9.6426976485e-01	2.2813571527e+00
9.6418889642e-01	2.2811389656e+00
9.6410774303e-01	2.2809187111e+00
9.6402630317e-01	2.2806965678e+00
9.6394457542e-01	2.2804727062e+00
9.6386255616e-01	2.2802472895e+00
9.6378021937e-01	2.2800204757e+00
9.6369755424e-01	2.2797924149e+00
9.6361457296e-01	2.2795632470e+00
9.6353128199e-01	2.2793331021e+00
9.6344768424e-01	2.2791020979e+00
9.6336378202e-01	2.2788703334e+00
9.6327956538e-01	2.2786378855e+00
9.6319504579e-01	2.2784047960e+00
9.6311020787e-01	2.2781710664e+00
9.6302506443e-01	2.2779366406e+00
9.6293960005e-01	2.2777013975e+00
9.6285382412e-01	2.2774651293e+00
9.6276772789e-01	2.2772275332e+00
9.6268131142e-01	2.2769881931e+00
9.6259457501e-01	2.2767465721e+00
9.6250750775e-01	2.2765020046e+00
9.6242011969e-01	2.2762536952e+00
9.6233239107e-01	2.2760007284e+00
9.6224433706e-01	2.2757420760e+00
9.6215593546e-01	2.2754766261e+00
9.6206719863e-01	2.2752032032e+00
9.6197811163e-01	2.2749206063e+00
9.6188867336e-01	2.2746276423e+00
9.6179887905e-01	2.2743231667e+00
9.6170871948e-01	2.2740061256e+00
9.6161818590e-01	2.2736755969e+00
9.6152725921e-01	2.2733308337e+00
9.6143594306e-01	2.2729712957e+00
9.6134427753e-01	2.2725966814e+00
9.6125226271e-01	2.2722069481e+00
9.6115989782e-01	2.2718023195e+00
9.6106718172e-01	2.2713832694e+00
9.6097411337e-01	2.2709505030e+00
9.6088069167e-01	2.2705049185e+00
9.6078691540e-01	2.2700475663e+00
9.6069278339e-01	2.2695796010e+00
9.6059829421e-01	2.2691022346e+00
9.6050344635e-01	2.2686166948e+00
9.6040823807e-01	2.2681241893e+00
9.6031266746e-01	2.2676258782e+00
9.6021673272e-01	2.2671228496e+00
9.6012043207e-01	2.2666161090e+00
9.6002376357e-01	2.2661060829e+00
9.5992672546e-01	2.2655883344e+00
9.5982931578e-01	2.2650693362e+00
9.5973153256e-01	2.2645497459e+00
9.5963337380e-01	2.2640301415e+00
9.5953483745e-01	2.2635110296e+00
9.5943592144e-01	2.2629928534e+00
9.5933662368e-01	2.2624760013e+00
9.5923694205e-01	2.2619608145e+00
9.5913687442e-01	2.2614475939e+00
9.5903641860e-01	2.2609366062e+00
9.5893557242e-01	2.2604280817e+00
9.5883433354e-01	2.2599221396e+00
9.5873269850e-01	2.2594179386e+00
9.5863065172e-01	2.2589044846e+00
